,similarity,sentence1,sentence2
314,entailment,"Three elephants, each carrying a group of people, walking through the water.",Three elephants carry people through the water.
315,neutral,A diver is swimming with a turtle.,A sick turtle is swimming by a diver.
316,contradiction,A diver is swimming with a turtle.,A lion is eating raw meat at the zoo.
317,entailment,A diver is swimming with a turtle.,A turtle has a diver swimming with it.
318,entailment,A man with a beard skateboarding and a boy with a blue and black backpack riding a green bike in the background.,There is a man and a boy outside.
319,contradiction,A man with a beard skateboarding and a boy with a blue and black backpack riding a green bike in the background.,There is a kid skateboarding and a bearded man on a bike.
320,neutral,A man with a beard skateboarding and a boy with a blue and black backpack riding a green bike in the background.,There is a man with a gray beard skateboarding.
321,neutral,A young boy reaches for and touches the propeller of a vintage aircraft.,A young boy and his friend admire the vintage aircraft.
322,contradiction,A young boy reaches for and touches the propeller of a vintage aircraft.,A young boy swims in his pool.
323,entailment,A young boy reaches for and touches the propeller of a vintage aircraft.,A young boy and an airplane.
324,entailment,Indian people dressed in magnificent bright colors conduct a ritual.,Indian people having a ritual
325,neutral,Indian people dressed in magnificent bright colors conduct a ritual.,Indian people having a ritual for a birthday celebration
326,contradiction,Indian people dressed in magnificent bright colors conduct a ritual.,Indian people hunting animals
327,entailment,Two little girls ride an inflatable dinghy down a purple water slide.,Two girls on a water slide.
328,neutral,Two little girls ride an inflatable dinghy down a purple water slide.,Sisters squeal in delight as the go down the slide.
329,contradiction,Two little girls ride an inflatable dinghy down a purple water slide.,Barney Fife with his one bullet.
330,neutral,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking.",The person is cooking a hamburger.
331,entailment,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking.",A person is wearing a Coca Cola shirt.
332,-,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking.",The person in the Coca Cola shirt is opening the refrigerator.
333,contradiction,A woman walks by a brick building that's covered with graffiti.,The woman is in the bathroom.
334,neutral,A woman walks by a brick building that's covered with graffiti.,The woman's son drew some of the graffiti.
335,entailment,A woman walks by a brick building that's covered with graffiti.,A woman is outside.
336,contradiction,"Two men are in an electronics workshop, working on computers or equipment.",The men are unaware of what computers are.
337,neutral,"Two men are in an electronics workshop, working on computers or equipment.",The two men are electronics enthusiasts.
338,neutral,"Two men are in an electronics workshop, working on computers or equipment.",The men are experts when it comes to electronics.
339,entailment,Young girl with dark hair facing camera and holding a paper bag while wearing an orange shirt and multicolored butterfly wings.,A young girl faces the camera.
340,contradiction,Young girl with dark hair facing camera and holding a paper bag while wearing an orange shirt and multicolored butterfly wings.,An old woman refuses to have her picture taken.
341,neutral,Young girl with dark hair facing camera and holding a paper bag while wearing an orange shirt and multicolored butterfly wings.,A young girl faces the camera while holding a lunch bag.
342,neutral,A boy in overalls blows bubbles.,A boy in overalls is playing with bubbles outside.
343,entailment,A boy in overalls blows bubbles.,A boy is blowing bubbles.
344,contradiction,A boy in overalls blows bubbles.,A man is juggling in the park.
345,neutral,Two children playing on the floor with toy trains.,The children played on the floor with their new christmas toys.
346,entailment,Two children playing on the floor with toy trains.,The children played on the floor.
347,contradiction,Two children playing on the floor with toy trains.,The girls slept on the floor next to the toys.
348,entailment,"Three men in a science lab watch one of them hold a burning object, one man on the side is reaching for the ground.",Three men are in a laboratory doing a scientific study.
349,contradiction,"Three men in a science lab watch one of them hold a burning object, one man on the side is reaching for the ground.",There are three men on a fishing boat trying to catch bass.
350,neutral,"Three men in a science lab watch one of them hold a burning object, one man on the side is reaching for the ground.",The men in the science lab are performing a science experiment on fruit flies.
351,entailment,A white dog is chasing a stuffed animal being pulled on a string.,the animal is running
